season,team,position,jersey_number,full_name,first_name,last_name,football_name,gsis_id,nfl_id,esb_id,pfr_id,birth_date,height,weight
2024,DET,DB,0,Terrion Arnold,Terrion,Arnold,Terrion,00-0039903,57145,ARN739342,ArnoTe00,2003-03-22,72,196
2024,DET,OL,74,Kayode Awosika,Kayode,Awosika,Kayode,00-0036736,53941,AWO426541,,1998-10-27,75,315
2024,DET,K,39,Jake Bates,Jacob,Bates,Jake,00-0039172,56977,BAT106818,,1999-03-03,70,202
2024,DET,DB,32,Brian Branch,Brian,Branch,Brian,00-0039141,55910,BRA491198,BranBr00,2001-10-22,72,193
2024,DET,QB,12,Teddy Bridgewater,Theodore,Bridgewater,Teddy,00-0031237,41258,BRI129168,BridTe00,1992-11-10,74,215
2024,DET,LB,46,Jack Campbell,Jack,Campbell,Jack,00-0039018,55882,CAM364731,CampJa04,2000-08-22,77,243
2024,DET,OL,68,Taylor Decker,Taylor,Decker,Taylor,00-0032381,43305,DEC496460,,1993-08-23,79,318
2024,DET,P,3,Jack Fox,John,Fox,Jack,00-0035156,48258,FOX171605,,1996-09-01,74,224
2024,DET,RB,26,Jahmyr Gibbs,Jahmyr,Gibbs,Jahmyr,00-0039139,55876,GIB198578,GibbJa01,2002-03-20,69,200
2024,DET,OL,60,Graham Glasgow,Graham,Glasgow,Graham,00-0032395,43384,GLA349413,,1992-08-19,78,310
2024,DET,QB,16,Jared Goff,Jared,Goff,Jared,00-0033106,43290,GOF219636,GoffJa00,1994-10-14,76,223
2024,DET,LS,49,Hogan Hatten,Hogan,Hatten,Hogan,00-0039445,57559,HAT771098,,2000-08-06,74,220
2024,DET,DB,31,Kerby Joseph,Kerby,Joseph,Kerby,00-0037667,54562,JOS223092,JoseKe03,2000-11-14,73,200
2024,DET,TE,87,Sam LaPorta,Sam,LaPorta,Sam,00-0039065,55899,LAP640235,LaPoSa01,2001-01-12,75,249
2024,DET,OL,73,Christian Mahogany,Christian,Mahogany,Christian,00-0039408,57330,MAH399714,,2000-10-11,75,322
2024,DET,DB,6,Ifeatu Melifonwu,Ifeatu,Melifonwu,Ifeatu,00-0036993,53530,MEL074151,MeliIf00,1999-05-02,75,213
2024,DET,RB,5,David Montgomery,David,Montgomery,David,00-0035685,47856,MON487374,MontDa01,1997-06-07,71,222
2024,DET,DL,69,Al-Quadin Muhammad,Al-Quadin,Muhammad,Al-Quadin,00-0033964,45009,MUH405540,MuhaAl00,1995-03-28,76,250
2024,DET,LB,51,Ben Niemann,Ben,Niemann,Ben,00-0034296,46521,NIE532722,NiemBe00,1995-07-27,74,233
2024,DET,OL,62,Michael Niese,Michael,Niese,Michael,00-0037385,54970,NIE744064,,1998-01-13,77,295
2024,DET,DB,40,Morice Norris Jr.,Morice,Norris,Morice,00-0039453,57567,NOR550708,,2000-09-27,71,198
2024,DET,LB,53,Trevor Nowaske,Trevor,Nowaske,Trevor,00-0038660,56350,NOW415290,NowaTr00,1998-11-07,75,235
2024,DET,DL,91,Levi Onwuzurike,Levi,Onwuzurike,Levi,00-0036954,53470,ONW663851,OnwuLe00,1998-03-02,75,293
2024,DET,DL,93,Joshua Paschal,Joshua,Paschal,Josh,00-0038096,54511,PAS068486,PascJo00,1999-12-17,75,278
2024,DET,WR,17,Tim Patrick,Tim,Patrick,Tim,00-0033375,45267,PAT283375,PatrTi00,1993-11-23,76,212
2024,DET,LB,41,Anthony Pittman,Anthony,Pittman,Anthony,00-0035330,48458,PIT087988,PittAn01,1996-11-24,75,240
2024,DET,OL,77,Frank Ragnow,Frank,Ragnow,Frank,00-0034345,46089,RAG316161,,1996-05-17,77,311
2024,DET,WR,11,Kalif Raymond,Kalif,Raymond,Kalif,00-0032464,43584,RAY748263,RaymKa00,1994-08-08,68,182
2024,DET,DL,98,D.J. Reader,David,Reader,D.J.,00-0032424,43455,REA148116,ReadD.00,1994-07-01,75,347
2024,DET,LB,42,Jalen Reeves-Maybin,Jalen,Reeves-Maybin,Jalen,00-0033557,44937,REE820452,ReevJa00,1995-01-31,73,233
2024,DET,RB,13,Craig Reynolds,Craig,Reynolds,Craig,00-0035567,48707,REY121392,ReynCr00,1996-06-15,71,215
2024,DET,DB,21,Amik Robertson,Amik,Robertson,Amik,00-0036375,52547,ROB303302,RobeAm00,1998-07-06,69,183
2024,DET,WR,8,Allen Robinson,Allen,Robinson,Allen,00-0031428,41290,ROB365982,RobiAl02,1993-08-24,74,220
2024,DET,OL,58,Penei Sewell,Penei,Sewell,Penei,00-0036880,53436,SEW478214,,2000-10-09,77,325
2024,DET,OL,70,Dan Skipper,Daniel,Skipper,Dan,00-0033863,45721,SKI665077,,1994-09-20,81,325
2024,DET,DL,90,Chris Smith,Chris,Smith,Chris,00-0038661,56351,SMI143477,,1999-12-15,73,310
2024,DET,DL,99,Za'Darius Smith,Za'Darius,Smith,Za'Darius,00-0031576,42465,SMI827086,SmitZa00,1992-09-08,76,272
2024,DET,WR,14,Amon-Ra St. Brown,Amon-Ra,St. Brown,Amon-Ra,00-0036963,53541,STB415291,StxxAm00,1999-10-24,72,195
2024,DET,DB,38,Stantley Thomas-Oliver,Stantley,Thomas-Oliver,Stantley,00-0036315,52629,THO421309,ThomSt00,1998-06-04,72,184
2024,DET,LB,47,Ezekiel Turner,Ezekiel,Turner,Ezekiel,00-0034490,46674,TUR304695,TurnZe00,1996-06-09,74,214
2024,DET,RB,33,Sione Vaki,Sione,Vaki,Sione,00-0039364,57253,VAK189231,VakiSi00,2001-07-30,71,208
2024,DET,DB,29,Kindle Vildor,Kindle,Vildor,Kindle,00-0036307,52571,VIL069215,VildKi00,1997-12-11,71,190
2024,DET,WR,9,Jameson Williams,Jameson,Williams,Jameson,00-0037240,54477,WIL344909,WillJa11,2001-03-26,73,189
2024,DET,DL,78,Jonah Williams,Jonah,Williams,Jonah,00-0035944,52846,WIL385174,,1995-08-17,77,275
2024,DET,TE,89,Brock Wright,Brock,Wright,Brock,00-0036754,53959,WRI121125,WrigBr01,1998-11-27,77,255
2024,DET,TE,84,Shane Zylstra,Shane,Zylstra,Shane,00-0036534,53739,ZYL604524,ZylsSh00,1996-11-16,76,215
2024,KC,DL,97,Felix Anudike-Uzomah,Felix,Anudike-Uzomah,Felix,00-0039006,55895,ANU415291,AnudFe00,2002-01-24,76,255
2024,KC,P,14,Matt Araiza,Matt,Araiza,Matt,00-0037284,54645,ARA317575,,2000-05-16,74,200
2024,KC,LB,32,Nick Bolton,Nicholas,Bolton,Nick,00-0036621,53487,BOL678301,BoltNi00,2000-03-10,71,232
2024,KC,LB,50,Swayze Bozeman,Swayze,Bozeman,Swayze,00-0039313,57467,BOZ237308,,1998-11-02,73,225
2024,KC,WR,5,Marquise Brown,Marquise,Brown,Marquise,00-0035662,47808,BRO413218,BrowMa04,1997-06-04,69,170
2024,KC,K,7,Harrison Butker,Harrison,Butker,Harrison,00-0033303,45046,BUT061642,ButkHa00,1995-07-14,76,205
2024,KC,OL,66,Mike Caliendo,Mike,Caliendo,Mike,00-0037207,54876,CAL446522,,1997-10-21,76,300
2024,KC,LB,54,Leo Chenal,Leo,Chenal,Leo,00-0037819,54568,CHE215722,ChenLe00,2000-10-26,75,261
2024,KC,DB,27,Chamarri Conner,Chamarri,Conner,Chamarri,00-0038982,55984,CON433448,ConnCh01,2000-07-11,72,206
2024,KC,DB,6,Bryan Cook,Bryan,Cook,Bryan,00-0037193,54527,COO016900,CookBr02,1999-09-07,73,210
2024,KC,DL,51,Michael Danna,Michael,Danna,Michael,00-0036378,52585,DAN721566,DannMi00,1997-12-04,74,255
2024,KC,TE,83,Noah Gray,Noah,Gray,Noah,00-0036637,53591,GRA757316,GrayNo00,1999-04-30,75,240
2024,KC,TE,88,Peyton Hendershot,Peyton,Hendershot,Peyton,00-0037569,55157,HEN032321,HendPe01,1999-04-23,76,245
2024,KC,DB,21,Jaden Hicks,Jaden,Hicks,Jaden,00-0039825,57254,HIC502297,HickJa01,2002-08-16,73,212
2024,KC,WR,8,DeAndre Hopkins,DeAndre,Hopkins,DeAndre,00-0030564,39973,HOP161500,HopkDe00,1992-06-06,73,212
2024,KC,OL,52,Creed Humphrey,Creed,Humphrey,Creed,00-0036623,53492,HUM473083,,1999-06-28,76,316
2024,KC,OL,70,D.J. Humphries,DeMarcus,Humphries,D.J.,00-0032222,42367,HUM728022,,1993-12-28,77,307
2024,KC,RB,29,Kareem Hunt,Kareem,Hunt,Kareem,00-0033923,44898,HUN308934,HuntKa00,1995-08-06,71,216
2024,KC,DB,13,Nazeeh Johnson,Nazeeh,Johnson,Nazeeh,00-0037198,54724,JOH551616,JohnNa01,1998-07-17,70,189
2024,KC,LB,44,Cam Jones,Cam,Jones,Cam,00-0038513,56265,JON148503,JoneCa04,1999-10-21,74,228
2024,KC,DL,95,Chris Jones,Christopher,Jones,Chris,00-0032762,43326,JON162595,JoneCh09,1994-07-03,78,308
2024,KC,DL,56,George Karlaftis,George,Karlaftis,George,00-0037192,54495,KAR303382,KarlGe00,2001-04-03,76,275
2024,KC,TE,87,Travis Kelce,Travis,Kelce,Travis,00-0030506,40011,KEL012458,KelcTr00,1989-10-05,77,260
2024,KC,LB,59,Blake Lynch,Blake,Lynch,Blake,00-0035984,52886,LYN072058,LyncBl00,1997-02-14,75,225
2024,KC,QB,15,Patrick Mahomes,Patrick,Mahomes,Patrick,00-0033873,44822,MAH401939,MahoPa00,1995-09-17,74,230
2024,KC,DB,22,Trent McDuffie,Trent,McDuffie,Trent,00-0037191,54486,MCD824296,McDuTr00,2000-09-13,71,195
2024,KC,DL,91,Derrick Nnadi,Derrick,Nnadi,Derrick,00-0034818,46144,NNA157287,NnadDe00,1996-05-09,73,310
2024,KC,OL,60,Hunter Nourzad,Hunter,Nourzad,Hunter,00-0039827,57280,NOU415291,,2000-11-26,75,320
2024,KC,DL,90,Charles Omenihu,Charles,Omenihu,Charles,00-0035279,47944,OME565785,OmenCh00,1997-08-20,77,280
2024,KC,RB,10,Isiah Pacheco,Isiah,Pacheco,Isiah,00-0037197,54716,PAC576791,PachIs00,1999-03-02,70,215
2024,KC,DL,69,Mike Pennel,Michael,Pennel,Mike,00-0030757,41595,PEN320554,,1991-05-09,76,332
2024,KC,RB,34,Samaje Perine,Samaje,Perine,Samaje,00-0033526,44927,PER095343,PeriSa00,1995-09-16,70,240
2024,KC,DB,20,Justin Reid,Justin,Reid,Justin,00-0034361,46137,REI306723,ReidJu00,1997-02-15,73,204
2024,KC,WR,81,Nikko Remigio,Nikko,Remigio,Nikko,00-0038519,56271,REM240921,,1999-11-04,69,185
2024,KC,DB,30,Christian Roland-Wallace,Christian,Roland-Wallace,Christian,00-0039324,57478,ROL266426,,2001-11-23,71,200
2024,KC,OL,65,Trey Smith,Trey,Smith,Trey,00-0036660,53655,SMI764701,,1999-06-16,78,325
2024,KC,WR,9,JuJu Smith-Schuster,John,Smith-Schuster,JuJu,00-0033857,44874,SMI829709,SmitJu00,1996-11-22,73,215
2024,KC,RB,42,Carson Steele,Carson,Steele,Carson,00-0039325,57479,STE027134,,2002-10-01,72,225
2024,KC,OL,76,Kingsley Suamataia,Kingsley,Suamataia,Kingsley,00-0039844,57184,SUA474618,,2003-01-18,76,325
2024,KC,OL,74,Jawaan Taylor,Jawaan,Taylor,Jawaan,00-0035237,47818,TAY349425,,1997-11-25,77,312
2024,KC,OL,62,Joe Thuney,Joseph,Thuney,Joe,00-0032391,43367,THU198074,,1992-11-18,77,308
2024,KC,LB,23,Drue Tranquill,Drue,Tranquill,Drue,00-0035262,47913,TRA289059,TranDr00,1995-08-15,74,234
2024,KC,DB,35,Jaylen Watson,Jaylen,Watson,Jaylen,00-0037195,54708,WAT411506,WatsJa02,1998-09-17,74,204
2024,KC,WR,84,Justin Watson,Justin,Watson,Justin,00-0034386,46213,WAT441238,WatsJu01,1996-04-04,74,215
2024,KC,QB,11,Carson Wentz,Carson,Wentz,Carson,00-0032950,43291,WEN615770,WentCa00,1992-12-30,77,237
2024,KC,DL,98,Tershawn Wharton,Tershawn,Wharton,Tershawn,00-0035890,52792,WHA652597,WharTe00,1998-06-25,73,280
2024,KC,DB,2,Joshua Williams,Joshua,Williams,Joshua,00-0038043,54600,WIL390045,WillJo03,1999-10-17,75,197
2024,KC,LS,41,James Winchester,James,Winchester,James,00-0030615,40994,WIN034202,,1989-08-06,75,240
2024,KC,WR,1,Xavier Worthy,Xavier,Worthy,Xavier,00-0039894,57149,WOR741496,WortXa00,2003-04-27,71,172
2024,PHI,RB,26,Saquon Barkley,Saquon,Barkley,Saquon,00-0034844,46071,BAR192674,BarkSa00,1997-02-09,72,233
2024,PHI,LB,53,Zack Baun,Zack,Baun,Zack,00-0036418,52482,BAU677316,BaunZa00,1996-12-30,75,235
2024,PHI,OL,77,Mekhi Becton,Mekhi,Becton,Mekhi,00-0036284,52419,BEC814547,,1999-04-18,79,355
2024,PHI,DB,32,Reed Blankenship,Reed,Blankenship,Reed,00-0037130,54808,BLA735451,BlanRe00,1999-03-02,73,200
2024,PHI,RB,48,Khari Blasingame,Khari,Blasingame,Khari,00-0035099,48207,BLA772342,,1996-07-01,72,233
2024,PHI,DL,59,Thomas Booker,Thomas,Booker,Thomas,00-0037262,54615,BOO053215,,1999-11-11,75,310
2024,PHI,WR,11,A.J. Brown,Arthur,Brown,A.J.,00-0035676,47834,BRO413223,BrowAJ00,1997-06-30,73,226
2024,PHI,DB,21,Sydney Brown,Sydney,Brown,Sydney,00-0039002,55931,BRO695003,BrowSy00,2000-03-21,70,205
2024,PHI,LB,42,Oren Burks,Oren,Burks,Oren,00-0034754,46157,BUR284869,BurkOr00,1995-03-21,75,233
2024,PHI,TE,81,Grant Calcaterra,Grant,Calcaterra,Grant,00-0037086,54663,CAL069215,CalcGr00,1998-12-04,76,221
2024,PHI,WR,80,Parris Campbell,Parris,Campbell,Parris,00-0035639,47842,CAM230411,CampPa00,1997-07-16,73,205
2024,PHI,DL,98,Jalen Carter,Jalen,Carter,Jalen,00-0038386,55873,CAR656628,CartJa05,2001-04-04,75,310
2024,PHI,DL,90,Jordan Davis,Jordan,Davis,Jordan,00-0037073,54478,DAV487265,DaviJo03,2000-01-12,78,340
2024,PHI,DB,33,Cooper DeJean,Cooper,DeJean,Cooper,00-0039841,57161,DEJ226521,DeJeCo00,2003-02-09,72,207
2024,PHI,OL,69,Landon Dickerson,Landon,Dickerson,Landon,00-0037002,53466,DIC281359,,1998-09-30,78,325
2024,PHI,WR,83,Jahan Dotson,Jahan,Dotson,Jahan,00-0037741,54481,DOT282798,DotsJa00,2000-03-22,71,182
2024,PHI,K,4,Jake Elliott,Jake,Elliott,Jake,00-0033787,44966,ELL296383,ElliJa03,1995-01-21,69,167
2024,PHI,RB,14,Kenneth Gainwell,Kenneth,Gainwell,Kenneth,00-0036919,53579,GAI606964,GainKe00,1999-03-14,69,191
2024,PHI,DB,8,C.J. Gardner-Johnson,Chauncey,Gardner-Johnson,Chauncey,00-0035253,47888,GAR211068,GardCh00,1997-12-20,71,208
2024,PHI,TE,88,Dallas Goedert,Dallas,Goedert,Dallas,00-0034351,46118,GOE595520,GoedDa00,1995-01-03,77,256
2024,PHI,DL,55,Brandon Graham,Brandon,Graham,Brandon,00-0027865,35452,GRA130064,GrahBr99,1988-04-03,74,265
2024,PHI,LB,58,Jalyx Hunt,Jalyx,Hunt,Jalyx,00-0039740,57215,HUN249742,HuntJa02,2001-03-13,75,248
2024,PHI,QB,1,Jalen Hurts,Jalen,Hurts,Jalen,00-0036389,52461,HUR767022,HurtJa00,1998-08-07,73,218
2024,PHI,TE,84,E.J. Jenkins,Emanuel,Jenkins,E.J.,00-0038498,56254,JEN184122,,1998-11-03,78,243
2024,PHI,OL,74,Fred Johnson,Fred,Johnson,Fred,00-0034951,48085,JOH000022,,1997-06-05,79,326
2024,PHI,OL,65,Lane Johnson,Lane,Johnson,Lane,00-0030561,39950,JOH399478,,1990-05-08,78,317
2024,PHI,OL,51,Cam Jurgens,Cameron,Jurgens,Cam,00-0038112,54516,JUR103822,,1999-08-21,75,290
2024,PHI,LS,49,Rick Lovato,Rick,Lovato,Rick,00-0031911,42942,LOV004796,,1992-09-09,74,249
2024,PHI,DB,29,Avonte Maddox,Avonte,Maddox,Avonte,00-0034377,46194,MAD347585,MaddAv00,1996-03-31,69,184
2024,PHI,OL,68,Jordan Mailata,Lafoga,Mailata,Jordan,00-0034429,46302,MAI305232,,1997-03-31,80,344
2024,PHI,P,10,Braden Mann,Braden,Mann,Braden,00-0036313,52599,MAN389317,MannBr01,1997-11-24,71,190
2024,PHI,DB,36,Tristin McCollum,Tristin,McCollum,Tristin,00-0037461,55047,MCC495185,,1999-05-03,75,195
2024,PHI,DB,27,Quinyon Mitchell,Quinyon,Mitchell,Quinyon,00-0039888,57143,MIT626299,MitcQu00,2001-07-18,72,196
2024,PHI,LB,43,Nicholas Morrow,Nicholas,Morrow,Nicholas,00-0033445,45345,MOR709781,MorrNi00,1995-07-10,72,225
2024,PHI,DL,97,Moro Ojomo,Morotoluwa,Ojomo,Moro,00-0038412,56114,OJO426541,OjomMo00,2001-08-15,75,284
2024,PHI,QB,7,Kenny Pickett,Kenny,Pickett,Kenny,00-0038102,54485,PIC777233,PickKe00,1998-06-06,75,220
2024,PHI,DB,22,Kelee Ringo,Kelee,Ringo,Kelee,00-0039140,55970,RIN504723,RingKe00,2002-06-27,74,205
2024,PHI,DB,34,Isaiah Rodgers,Isaiah,Rodgers,Isaiah,00-0036222,52619,ROD368010,RodgIs00,1998-01-07,70,170
2024,PHI,RB,28,Will Shipley,Will,Shipley,Will,00-0039746,57248,SHI386967,ShipWi00,2002-08-29,71,210
2024,PHI,DB,2,Darius Slay,Darius,Slay,Darius,00-0030062,39984,SLA746089,SlayDa00,1991-01-01,72,190
2024,PHI,WR,6,DeVonta Smith,DeVonta,Smith,DeVonta,00-0036912,53439,SMI206016,SmitDe07,1998-11-14,72,165
2024,PHI,LB,3,Nolan Smith,Nolan,Smith,Nolan,00-0039013,55894,SMI536848,SmitNo02,2001-01-18,74,235
2024,PHI,OL,56,Tyler Steen,Tyler,Steen,Tyler,00-0039001,55930,STE097919,,2000-06-24,78,315
2024,PHI,LB,19,Josh Sweat,Josh,Sweat,Josh,00-0034381,46199,SWE031587,SweaJo00,1997-03-29,77,253
2024,PHI,OL,64,Brett Toth,Brett,Toth,Brett,00-0035743,47097,TOT169395,,1996-09-01,78,291
2024,PHI,LB,54,Jeremiah Trotter Jr.,Jeremiah,Trotter,Jeremiah,00-0039826,57276,TRO498404,TrotJe01,2002-12-24,72,230
2024,PHI,DL,93,Milton Williams,Milton,Williams,Milton,00-0036916,53502,WIL454157,WillMi08,1999-04-06,75,278
2024,PHI,WR,89,Johnny Wilson,Johnny,Wilson,Johnny,00-0039236,57305,WIL733437,WilsJo03,2001-04-03,78,237
